;Date;No_cases;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken;Rolling_R
103;2020-06-07;0.009463973278193098;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9034848055628704
104;2020-06-08;0.009066327342134563;1.0;0.0;0.5;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.877044451421635
105;2020-06-09;0.008748210593287736;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.8458618144165246
106;2020-06-10;0.00914585652934627;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.8137773405055825
107;2020-06-11;0.005885159853666296;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.7850170518955717
108;2020-06-12;0.006441864164148242;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.7640918822093431
109;2020-06-13;0.005328455543184348;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.7563225733933968
110;2020-06-14;0.004851280419914108;1.0;0.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.7631985162165857
111;2020-06-15;0.0054079847303960555;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.7877240485561801
112;2020-06-16;0.004374105296643868;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.8262997731720001
113;2020-06-17;0.007316685223477016;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.8738298643020858
114;2020-06-18;0.005885159853666296;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9218315008556393
115;2020-06-19;0.0069985684746301895;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9606712151419701
116;2020-06-20;0.0058056306664545886;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9848317826974277
117;2020-06-21;0.004533163671067281;1.0;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.3333333333333333;0.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.0;0.9913508616589048
